FID	U_DN_PPM	POINT_X	POINT_Y
352	1,4	-77,7279	34,6942
353	4,1	-78,1468	34,7009
355	1,5	-77,687	34,7032
358	145,6	-78,3409	34,7058
361	1,8	-77,7365	34,7073
362	7,1	-78,6112	34,7074
363	18	-77,0187	34,7074
365	14,2	-77,958	34,7099
366	4,7	-78,0113	34,7102
367	1,6	-77,2742	34,7104
368	9,8	-78,46	34,7108
369	19,3	-78,2799	34,7109
373	3,7	-78,1795	34,7145
374	2,2	-77,6614	34,7158
375	1,2	-76,9778	34,7159
377	1,6	-77,482	34,7165
378	51,7	-78,2554	34,7171
379	2,6	-78,0714	34,7173
380	2,6	-77,2162	34,7193
382	10,9	-78,1118	34,7237
383	2,1	-77,6107	34,7241
388	1,4	-77,1632	34,7282
390	3,2	-77,0812	34,7287
393	3,9	-78,1483	34,7304
394	2,7	-76,9342	34,7311
397	9,3	-78,0145	34,7327
399	1,5	-77,5814	34,7356
400	6,4	-78,5772	34,7369
403	5	-78,4098	34,7403
404	1,8	-77,7436	34,7412
406	2,2	-77,6493	34,7442
407	8	-78,1874	34,7443
408	6,8	-78,5058	34,7467
409	1,7	-77,239	34,7469
410	1,9	-77,5625	34,7486
413	1,4	-77,4803	34,7555
414	5,2	-78,3679	34,7572
415	2,5	-77,2893	34,7578
417	15,7	-78,2847	34,7588
418	2,4	-77,7028	34,7589
422	2,5	-77,7888	34,7645
423	3,3	-76,6561	34,7649
424	3,3	-77,1818	34,7652
425	11,7	-77,9332	34,7664
426	16,5	-78,0539	34,767
427	1,9	-77,7499	34,7675
430	2,7	-78,3302	34,7692
432	3,6	-76,7555	34,7737
433	1,3	-76,8829	34,7755
434	3,4	-77,1436	34,7761
435	3,5	-77,8304	34,7765
437	10,3	-78,1301	34,7782
438	4,7	-76,9344	34,7789
439	1,3	-77,331	34,7806
442	4,6	-77,6283	34,7822
443	1,9	-77,5236	34,7836
444	22,4	-78,0733	34,786
446	3,3	-78,5705	34,7868
450	2,7	-77,2902	34,7899
451	7,2	-78,5046	34,7916
452	4,3	-76,5556	34,7921
455	1	-76,7379	34,795
456	3,2	-78,0406	34,7964
457	26,5	-77,9125	34,7971
459	10,9	-78,3693	34,7974
460	4,9	-77,7897	34,7999
461	2,8	-77,217	34,8
464	2,4	-76,8325	34,8036
465	3,3	-76,9409	34,8045
466	1,2	-76,8903	34,8045
467	13,1	-77,9438	34,8062
471	19,6	-77,9779	34,8073
475	5,5	-78,1516	34,8132
476	14	-77,6489	34,8135
477	2,4	-77,5179	34,814
478	11	-78,4848	34,8158
480	3,3	-76,7111	34,8161
484	8,8	-78,0841	34,8183
486	2,2	-76,8541	34,8199
488	2,8	-77,4157	34,8204
490	7,4	-77,5878	34,8229
493	7,3	-78,2914	34,8245
495	14,7	-78,386	34,8255
499	24,4	-78,2604	34,8279
507	1,6	-77,6846	34,8302
513	3,3	-77,3449	34,8319
526	5,6	-78,5816	34,8375
527	39,8	-78,2322	34,8375
529	1,4	-77,1687	34,8376
533	8,3	-78,1246	34,8384
535	6,3	-77,5683	34,8386
538	2,9	-77,8018	34,8397
540	1,2	-77,4659	34,8398
548	7,3	-76,9564	34,8467
549	11,8	-78,439	34,8494
550	16,8	-78,5301	34,8496
551	5,5	-77,7585	34,8496
553	2,7	-77,2865	34,8512
555	1,5	-77,6209	34,8519
558	11,3	-78,5121	34,8526
560	3,6	-77,2323	34,8542
588	4,8	-78,0129	34,8657
589	1,3	-76,8469	34,8671
594	2,1	-77,7111	34,8681
599	4,6	-77,5842	34,8697
602	12,2	-78,2028	34,8709
603	2,9	-76,7446	34,8716
605	6,3	-78,4462	34,876
607	3,4	-77,6528	34,8776
615	2,4	-77,5208	34,8817
616	1,9	-77,1699	34,8827
619	1,6	-76,8257	34,8829
621	5	-77,8205	34,8839
622	2,5	-77,9786	34,8842
623	2	-76,9327	34,8847
624	33,8	-78,5528	34,8848
625	3	-77,7649	34,885
626	4,5	-77,9152	34,8859
629	30,8	-78,2976	34,8873
632	2,1	-77,2612	34,8894
638	8,6	-78,591	34,8917
651	3,6	-77,1375	34,8997
652	8,6	-78,5269	34,9004
653	13,6	-78,4324	34,9018
656	10,2	-78,2516	34,9027
669	10,4	-77,8313	34,9083
670	4,3	-77,9145	34,9086
671	3,7	-77,6249	34,9095
674	5,1	-78,1289	34,9102
681	7,5	-78,0371	34,9122
684	2,6	-77,2781	34,913
685	6,6	-77,9945	34,9137
691	2,7	-77,3149	34,9171
693	3,7	-78,6112	34,9201
696	11	-78,3921	34,9222
697	3,3	-76,6292	34,9232
698	6	-77,7152	34,9261
701	10,5	-77,0704	34,9277
702	34,8	-78,4505	34,9281
711	3,1	-76,9502	34,9312
715	5,6	-77,5806	34,9317
721	1,5	-77,5316	34,9349
731	4	-78,0473	34,9387
735	1,6	-77,6353	34,9396
736	2,1	-77,2908	34,9408
737	4,9	-77,3327	34,9424
755	3,6	-77,7518	34,9485
757	5,8	-78,1256	34,9488
761	18,2	-78,2288	34,9529
763	10	-77,0045	34,9538
766	5,6	-78,269	34,9549
774	4,3	-77,7227	34,957
777	47,9	-78,4347	34,9581
779	2,6	-76,661	34,9597
781	5	-78,1963	34,9607
782	7,4	-77,9381	34,9607
785	5,8	-77,9961	34,9618
786	2,7	-77,8016	34,963
794	4,7	-78,078	34,9659
795	1,9	-76,9591	34,9685
800	7	-78,1338	34,969
801	18	-78,3872	34,9699
802	2,4	-77,6365	34,9699
806	4,3	-77,2226	34,9739
807	8,2	-77,9552	34,9743
811	3	-77,2733	34,9763
812	4	-77,7767	34,9768
813	1,8	-76,9935	34,977
814	2,5	-77,183	34,9779
816	7,8	-77,8706	34,9809
819	5,4	-78,3576	34,9815
821	2,1	-78,1599	34,9847
831	1,2	-77,6665	34,9884
832	2,1	-77,4972	34,989
833	3,6	-78,0098	34,9892
834	4,3	-77,7457	34,9893
839	3,3	-77,3092	34,9905
849	19,5	-78,5002	34,9947
861	2,1	-77,5428	34,9972
865	1,7	-78,207	34,9988
878	2,7	-77,7153	35,0036
882	3	-77,0506	35,0051
890	31,1	-78,3851	35,0063
911	5,2	-78,4869	35,0121
915	2,4	-76,8041	35,0132
920	3,4	-78,6107	35,0141
926	24,2	-78,5714	35,0161
931	4	-78,1474	35,0174
951	7,1	-77,797	35,025
953	3,5	-77,8735	35,0255
960	13,8	-78,2709	35,027
964	2,5	-77,1357	35,0275
968	4,8	-77,9457	35,0283
975	4,7	-78,0089	35,0296
976	5,2	-78,0541	35,0297
979	3,4	-77,6212	35,0298
988	8,6	-78,198	35,0336
989	2	-77,2135	35,0339
993	5,5	-78,1443	35,0347
994	2,5	-77,3712	35,0347
996	7,2	-78,3834	35,035
998	2,2	-76,8061	35,0354
1003	2	-78,3574	35,037
1006	3,4	-77,3199	35,0379
1011	44,9	-78,4362	35,0393
1012	6	-78,2362	35,0407
1013	8,2	-77,8236	35,0407
1018	2,6	-76,8871	35,0426
1033	3,7	-78,0328	35,047
1034	2,2	-76,7395	35,047
1035	8,3	-78,5292	35,0495
1042	1,2	-77,0806	35,052
1047	3,1	-77,737	35,0565
1055	5,9	-78,1279	35,0585
1056	13,7	-78,3372	35,0592
1057	28,5	-78,5923	35,0593
1059	2,7	-76,6754	35,0602
1062	14,4	-78,0965	35,0618
1065	2,6	-77,689	35,0628
1070	2,6	-76,8762	35,0641
1074	3,1	-77,4979	35,0647
1076	12,2	-78,2009	35,0651
1085	3,4	-77,5904	35,0679
1102	1,7	-77,7731	35,0735
1109	3,1	-77,8472	35,0754
1112	11,8	-77,914	35,0758
1119	2,5	-77,5161	35,0779
1120	8,3	-77,0833	35,0779
1127	2,1	-77,313	35,0799
1132	2,6	-77,6427	35,0807
1133	13,2	-78,3291	35,0809
1158	6,7	-77,9923	35,0875
1159	4,8	-77,1493	35,0878
1161	2,6	-76,8578	35,088
1163	1,5	-77,2118	35,0882
1170	17,7	-78,3791	35,0902
1173	15,1	-78,0906	35,0907
